trn_acc,trn_loss,val_acc,val_loss
0.13,2.31291,0.08,2.32361
0.08,2.29111,0.1,2.29221
0.2,2.24242,0.28,2.23298
0.27,1.98104,0.26,2.10002
0.25,2.03617,0.31,1.97
0.35,1.83656,0.23,2.06539
0.39,1.74654,0.29,1.84752
0.42,1.66534,0.32,1.89907
0.48,1.54105,0.41,1.7139
0.46,1.63432,0.42,1.62787
0.46,1.48714,0.42,1.66148
0.5,1.41379,0.38,1.68557
0.54,1.29432,0.44,1.39305
0.57,1.29693,0.41,1.67274
0.58,1.45457,0.54,1.34051
0.55,1.25749,0.49,1.62784
0.64,1.26235,0.56,1.29583
0.64,1.12644,0.41,1.63112
0.59,1.12582,0.51,1.45452
0.57,1.26402,0.47,1.26233
0.61,1.1089,0.52,1.55061
0.63,1.14042,0.57,1.29558
0.67,0.967256,0.51,1.28303
0.62,0.992533,0.58,1.15811
0.66,1.10655,0.54,1.22144
0.7,0.978433,0.58,1.26858
0.68,1.02878,0.64,1.13519
0.72,0.864232,0.6,1.09976
0.68,0.907449,0.52,1.34782
0.68,0.995818,0.5,1.32392
0.72,0.865504,0.57,1.18596
0.71,0.93674,0.52,1.20039
0.73,0.75693,0.59,1.16652
0.69,0.840789,0.62,1.26721
0.72,0.876701,0.58,1.08456
0.74,0.749486,0.65,1.05519
0.76,0.83874,0.63,1.13732
0.76,0.653725,0.54,1.21715
0.74,0.712625,0.6,1.11691
0.76,0.766567,0.66,1.0491
0.74,0.66762,0.59,1.05265
0.78,0.723155,0.58,1.15225
0.84,0.548014,0.61,1.0233
0.81,0.606737,0.62,1.25806
0.78,0.646693,0.66,0.917115
0.81,0.553696,0.58,1.3866
0.82,0.625578,0.62,1.17629
0.86,0.458537,0.62,1.15289
0.82,0.513557,0.6,1.06177
0.85,0.551624,0.65,0.926779
